,date,season,neutral,playoff,home_team,away_team,home_elo_prob,away_elo_prob,home_carm-elo_prob,away_carm-elo_prob,home_raptor_prob,away_raptor_prob,home_score,away_score,home_ml,away_ml
0,2007-10-30,2008,0,,SAS,POR,0.882228649079531,0.1177713509204689,,,,,106.0,97.0,-1400,900
1,2007-10-30,2008,0,,LAL,HOU,0.5360059790810868,0.4639940209189132,,,,,93.0,95.0,190,-230
2,2007-10-30,2008,0,,GSW,UTA,0.6374713036130468,0.3625286963869532,,,,,96.0,117.0,-120,100
3,2007-10-31,2008,0,,CLE,DAL,0.6003273778822112,0.3996726221177887,,,,,74.0,92.0,120,-140
4,2007-10-31,2008,0,,NOP,SAC,0.7134913622340822,0.2865086377659178,,,,,104.0,90.0,-525,425
5,2007-10-31,2008,0,,IND,WAS,0.6127127674734295,0.3872872325265705,,,,,119.0,110.0,105,-125
6,2007-10-31,2008,0,,TOR,PHI,0.7060208515132382,0.2939791484867617,,,,,106.0,97.0,-305,255
7,2007-10-31,2008,0,,MEM,SAS,0.2895750809702122,0.7104249190297878,,,,,101.0,104.0,210,-250
8,2007-10-31,2008,0,,NJN,CHI,0.5412815408825782,0.4587184591174218,,,,,112.0,103.0,-125,105
9,2007-10-31,2008,0,,DEN,SEA,0.7826643178815343,0.2173356821184656,,,,,120.0,103.0,-825,625
10,2007-10-31,2008,0,,ORL,MIL,0.7864189489505821,0.2135810510494179,,,,,102.0,83.0,-295,245
11,2007-11-01,2008,0,,UTA,HOU,0.6943906611237693,0.3056093388762306,,,,,95.0,106.0,-160,140
12,2007-11-01,2008,0,,SEA,PHO,0.3627301321647303,0.6372698678352697,,,,,99.0,106.0,575,-725
13,2007-11-01,2008,0,,MIA,DET,0.4682951281291139,0.5317048718708861,,,,,80.0,91.0,160,-190
14,2007-11-02,2008,0,,IND,MIA,0.5809124920306875,0.4190875079693125,,,,,87.0,85.0,-275,235
15,2007-11-02,2008,0,,NOP,POR,0.7479533143386724,0.2520466856613276,,,,,113.0,93.0,-325,275
16,2007-11-02,2008,0,,BOS,WAS,0.5829491988626876,0.4170508011373124,,,,,103.0,83.0,-335,285
17,2007-11-02,2008,0,,SAS,SAC,0.8755425227877301,0.1244574772122698,,,,,96.0,80.0,-2000,1200
18,2007-11-02,2008,0,,PHO,LAL,0.8195002548811768,0.1804997451188231,,,,,98.0,119.0,-435,365
19,2007-11-02,2008,0,,NJN,TOR,0.6512515584385271,0.3487484415614729,,,,,69.0,106.0,-175,155
20,2007-11-02,2008,0,,CLE,NYK,0.8103800629978024,0.1896199370021976,,,,,110.0,106.0,-250,210
